id_cluster,iso_code,tanggal_terdeteksi,tanggal_selesai,nama_cluster,jenis_cluster,nama_lokasi,alamat_lokasi,latitude,longitude,kasus_index,total_kasus_terkait,total_kontak_erat,total_suspect,kasus_anak,kasus_dewasa,kasus_lansia,kasus_laki,kasus_perempuan,kasus_tanpa_gejala,kasus_ringan,kasus_sedang,kasus_berat,kasus_kritis,kasus_meninggal,contact_tracing_completed,area_disinfection,temporary_closure,mass_testing,status_cluster,catatan
1,ID-AC,2021-10-08,2021-11-26,Cluster Sekolah Aceh 1,Sekolah,Lokasi Sekolah Aceh,"Jl. Sekolah No. 85, Aceh",-9.99708,104.258413,1,46,197,33,21,18,2,25,21,15,23,6,2,0,0,False,True,False,False,Terkendali,Cluster Sekolah terdeteksi di Aceh dengan 46 kasus terkait
2,ID-AC,2022-03-09,2022-04-07,Cluster Olahraga Aceh 2,Olahraga,Lokasi Olahraga Aceh,"Jl. Olahraga No. 72, Aceh",5.764943,126.538799,1,186,586,77,54,121,31,76,110,50,107,24,14,2,3,False,True,False,True,Selesai,Cluster Olahraga terdeteksi di Aceh dengan 186 kasus terkait
3,ID-AC,2020-06-11,2020-07-12,Cluster Keagamaan Aceh 3,Keagamaan,Lokasi Keagamaan Aceh,"Jl. Keagamaan No. 20, Aceh",-8.93081,120.241424,1,28,117,19,7,14,3,13,15,10,14,4,1,0,0,False,True,False,True,Selesai,Cluster Keagamaan terdeteksi di Aceh dengan 28 kasus terkait
4,ID-AC,2020-11-27,2021-01-04,Cluster Keluarga Aceh 4,Keluarga,Lokasi Keluarga Aceh,"Jl. Keluarga No. 99, Aceh",3.517706,129.495125,1,29,109,30,5,16,5,15,14,10,13,3,1,0,0,True,True,False,True,Selesai,Cluster Keluarga terdeteksi di Aceh dengan 29 kasus terkait
5,ID-AC,2020-03-28,2020-04-26,Cluster Pasar Aceh 5,Pasar,Lokasi Pasar Aceh,"Jl. Pasar No. 7, Aceh",-1.022346,137.476843,1,9,28,5,1,5,1,4,5,2,4,1,0,0,0,False,False,False,True,Selesai,Cluster Pasar terdeteksi di Aceh dengan 9 kasus terkait
6,ID-AC,2020-06-20,2020-08-07,Cluster Keagamaan Aceh 6,Keagamaan,Lokasi Keagamaan Aceh,"Jl. Keagamaan No. 89, Aceh",-4.9296,107.14813,1,47,161,41,9,31,7,27,20,18,22,5,3,1,0,True,True,False,False,Terkendali,Cluster Keagamaan terdeteksi di Aceh dengan 47 kasus terkait
7,ID-AC,2022-02-11,2022-03-13,Cluster Perkantoran Aceh 7,Perkantoran,Lokasi Perkantoran Aceh,"Jl. Perkantoran No. 4, Aceh",0.080925,135.319149,1,12,41,9,1,7,2,5,7,4,5,1,0,0,0,False,True,False,True,Selesai,Cluster Perkantoran terdeteksi di Aceh dengan 12 kasus terkait
8,ID-AC,2020-03-24,2020-04-23,Cluster Keluarga Aceh 8,Keluarga,Lokasi Keluarga Aceh,"Jl. Keluarga No. 62, Aceh",1.285865,126.165474,1,15,51,5,3,7,2,7,8,3,6,1,0,0,0,True,True,False,False,Selesai,Cluster Keluarga terdeteksi di Aceh dengan 15 kasus terkait
9,ID-AC,2021-09-11,2021-10-17,Cluster Perkantoran Aceh 9,Perkantoran,Lokasi Perkantoran Aceh,"Jl. Perkantoran No. 81, Aceh",1.750989,104.744665,1,83,288,31,9,46,10,35,48,26,49,9,3,2,1,False,False,True,True,Terkendali,Cluster Perkantoran terdeteksi di Aceh dengan 83 kasus terkait
10,ID-AC,2022-08-14,2022-09-20,Cluster Olahraga Aceh 10,Olahraga,Lokasi Olahraga Aceh,"Jl. Olahraga No. 33, Aceh",1.073126,122.204001,1,83,349,78,12,48,8,41,42,21,38,14,3,1,0,True,False,False,True,Selesai,Cluster Olahraga terdeteksi di Aceh dengan 83 kasus terkait
