id_ekonomi,iso_code,tahun,bulan,pdrb_milyar,pertumbuhan_ekonomi,inflasi_rate,tingkat_pengangguran,tingkat_partisipasi_kerja,upah_minimum_regional,sektor_pertanian,sektor_industri,sektor_perdagangan,sektor_jasa,sektor_pariwisata,penurunan_omzet_umkm,penutupan_usaha,bantuan_sosial_milyar,recovery_index,business_confidence
1,ID-AC,2020,1,216.97,6.24,2.01,3.74,69.33,1541546,38.54,18.92,20.61,14.33,5.19,10.54,10,35.36,20.09,13.84
2,ID-SU,2020,1,734.0,5.49,1.76,7.3,64.59,2087057,23.8,18.45,17.01,19.86,11.2,4.9,12,97.03,26.38,26.74
3,ID-SB,2020,1,204.02,4.49,0.9,6.52,64.67,1556788,25.45,17.54,23.33,11.45,12.38,2.49,14,78.77,20.63,30.01
4,ID-RI,2020,1,557.79,6.79,1.9,6.16,63.1,1504745,21.37,22.69,23.18,10.95,5.97,7.24,22,10.51,32.45,23.39
5,ID-JA,2020,1,199.61,5.52,1.91,6.38,64.22,1526114,23.09,10.5,19.38,18.56,9.58,13.46,64,70.36,27.23,36.67
6,ID-SS,2020,1,218.2,3.77,0.69,6.64,71.85,1531327,25.57,12.02,17.15,13.27,13.08,3.29,20,33.27,45.89,51.4
7,ID-BE,2020,1,207.14,3.38,2.86,7.06,62.94,1547919,39.52,16.88,24.65,10.4,11.62,18.15,43,56.31,22.5,31.17
8,ID-LA,2020,1,217.82,6.52,2.37,7.38,63.21,1487277,35.97,11.1,15.82,17.15,9.74,14.91,59,30.11,20.93,20.63
9,ID-BB,2020,1,186.08,5.7,1.29,4.86,63.92,1461149,24.17,11.78,23.24,11.02,7.12,10.27,81,59.07,20.18,21.56
10,ID-KR,2020,1,202.21,4.9,2.97,4.04,74.72,1526636,37.09,22.84,24.9,15.3,6.36,5.47,28,69.09,26.83,22.67
11,ID-JK,2020,1,2322.08,5.13,0.54,4.29,64.12,4635093,6.92,30.08,23.81,18.9,4.69,8.76,63,11.13,42.95,35.11
12,ID-JB,2020,1,1748.58,4.52,1.15,4.51,61.87,1807460,7.35,39.26,28.33,24.32,7.42,13.96,82,12.4,41.15,39.86
13,ID-JT,2020,1,1173.55,5.72,0.53,7.76,72.39,1681709,37.3,18.32,17.92,15.59,6.11,12.53,67,84.42,32.73,41.78
14,ID-YO,2020,1,197.08,4.72,1.73,7.01,70.26,1563162,39.7,14.89,21.91,14.56,9.26,15.7,82,24.18,32.99,34.95
15,ID-JI,2020,1,1750.25,5.15,2.88,5.37,74.12,1937674,9.11,44.63,22.78,22.15,3.92,14.28,50,52.1,27.3,23.19
16,ID-BT,2020,1,202.34,4.25,0.62,3.96,69.94,1501757,27.24,23.5,16.59,17.3,11.74,1.55,72,21.62,27.92,35.46
17,ID-BA,2020,1,287.26,4.59,1.07,7.38,62.38,2538845,32.72,24.71,23.1,18.26,6.35,15.91,68,61.51,25.79,16.66
18,ID-NB,2020,1,185.8,6.19,0.98,4.34,63.01,1563063,29.72,18.47,15.18,10.28,5.92,18.22,56,89.34,25.41,25.47
19,ID-NT,2020,1,214.23,4.84,1.43,3.05,72.02,1550063,29.71,18.36,15.51,12.0,10.96,7.33,45,77.12,21.62,19.4
20,ID-KB,2020,1,195.26,6.2,1.58,6.18,71.93,1569493,33.3,24.64,22.13,13.23,8.99,1.71,61,38.73,46.05,54.33
21,ID-KT,2020,1,199.3,5.23,2.46,3.32,64.55,1479498,24.71,16.75,24.42,17.51,9.93,1.19,13,10.56,35.89,31.31
22,ID-KS,2020,1,196.27,4.89,2.51,6.13,65.98,1525243,30.3,19.82,16.86,18.87,13.31,18.92,34,97.26,39.58,38.18
23,ID-KI,2020,1,186.18,5.34,2.94,3.28,69.57,1430852,29.96,16.69,19.7,19.0,9.19,10.74,40,18.15,45.03,47.89
24,ID-KU,2020,1,197.95,5.08,1.17,4.92,66.47,1431649,26.7,21.38,22.39,15.84,7.79,19.61,45,34.15,41.29,32.64
25,ID-SA,2020,1,183.42,5.54,0.97,5.8,69.14,1509207,23.04,19.84,16.39,13.24,14.19,8.91,48,89.3,23.22,31.45
26,ID-ST,2020,1,219.89,6.35,0.61,6.17,69.19,1490079,20.5,16.23,17.66,15.82,5.88,15.12,20,91.97,36.97,29.44
27,ID-SN,2020,1,536.59,5.35,1.0,4.61,71.94,1505113,25.38,13.29,16.78,17.6,7.58,5.34,57,80.53,22.86,18.9
28,ID-SG,2020,1,196.63,5.14,1.32,3.79,67.57,1507736,26.56,24.0,16.09,14.13,8.02,15.03,90,53.8,44.81,39.86
29,ID-GO,2020,1,206.15,4.96,2.95,3.15,60.25,1535066,30.85,24.7,16.39,14.4,5.62,0.61,99,65.5,41.65,50.67
30,ID-SR,2020,1,202.0,5.32,1.59,4.56,60.77,1486461,26.99,15.89,18.29,19.8,13.06,15.51,94,11.7,45.26,48.85
31,ID-MA,2020,1,204.82,6.33,2.39,5.11,71.94,1491737,33.03,20.34,19.1,10.29,9.04,7.97,28,37.94,32.35,29.0
32,ID-MU,2020,1,193.87,5.28,1.43,5.11,72.02,1445322,34.5,10.44,18.82,11.09,13.04,17.3,32,92.64,44.39,52.81
33,ID-PA,2020,1,199.97,5.09,1.72,4.72,61.83,1488336,30.55,19.11,24.0,15.4,11.41,5.33,58,30.88,30.1,31.1
34,ID-PB,2020,1,181.7,4.35,0.84,6.94,74.32,1445557,21.87,11.53,16.24,11.34,14.71,12.2,54,56.98,48.08,48.15
35,ID-AC,2020,2,219.93,5.05,2.08,6.61,62.53,1519525,35.36,13.16,22.74,19.91,8.01,5.1,13,51.95,22.07,22.29
36,ID-SU,2020,2,762.18,6.11,0.77,5.95,63.54,2091001,23.27,12.49,21.15,11.22,5.66,18.7,38,17.14,30.87,40.53
37,ID-SB,2020,2,215.67,5.35,2.07,7.36,60.13,1555697,34.64,20.3,22.68,16.62,14.41,19.84,20,81.15,41.33,34.81
38,ID-RI,2020,2,544.28,5.41,1.96,7.36,64.65,1538613,23.34,17.72,18.47,16.44,14.29,16.68,95,78.26,26.27,25.43
39,ID-JA,2020,2,200.42,4.45,0.51,4.46,73.47,1464414,39.83,16.77,23.33,11.79,7.17,17.54,84,25.02,44.99,37.02
40,ID-SS,2020,2,199.44,5.89,1.55,7.18,71.19,1506617,22.96,18.56,23.14,10.56,6.15,3.46,75,93.79,22.63,20.94
41,ID-BE,2020,2,217.49,5.52,2.91,7.58,61.57,1511134,37.66,19.39,21.41,10.32,9.91,1.48,81,65.88,20.55,18.94
42,ID-LA,2020,2,205.72,6.12,1.56,7.42,63.5,1571300,38.55,10.75,16.5,16.83,9.93,8.24,68,22.13,33.72,30.07
43,ID-BB,2020,2,214.22,6.21,1.15,4.05,61.4,1519112,33.04,11.41,15.74,14.07,10.17,17.67,32,68.68,23.47,20.87
44,ID-KR,2020,2,217.18,3.46,0.56,4.48,74.18,1515938,23.14,18.73,19.13,18.69,11.25,8.02,23,46.69,32.33,24.83
45,ID-JK,2020,2,2481.68,5.56,0.73,3.1,68.6,4301944,13.43,37.13,24.43,24.14,5.18,6.43,95,90.95,34.2,26.51
