id_kebijakan,iso_code,tanggal_mulai,tanggal_selesai,jenis_kebijakan,nama_kebijakan,deskripsi_kebijakan,tingkat_keketatan,sektor_pendidikan,sektor_ekonomi,sektor_transportasi,sektor_pariwisata,sektor_ibadah,compliance_rate,dampak_ekonomi_pct,status_kebijakan
1,ID-AC,2020-03-15,2020-05-05,Work From Home,Work From Home Aceh,Implementasi Work From Home di Aceh untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,76.2,16.3,Berakhir
2,ID-SU,2020-03-15,2020-06-13,Work From Home,Work From Home Sumatera Utara,Implementasi Work From Home di Sumatera Utara untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,62.0,14.9,Berakhir
3,ID-SB,2020-03-15,2020-05-10,Work From Home,Work From Home Sumatera Barat,Implementasi Work From Home di Sumatera Barat untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,86.3,29.3,Berakhir
4,ID-RI,2020-03-15,2020-04-21,Work From Home,Work From Home Riau,Implementasi Work From Home di Riau untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,69.0,27.6,Berakhir
5,ID-JA,2020-03-15,2020-04-05,Work From Home,Work From Home Jambi,Implementasi Work From Home di Jambi untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,70.6,25.8,Berakhir
6,ID-SS,2020-03-15,2020-04-22,Work From Home,Work From Home Sumatera Selatan,Implementasi Work From Home di Sumatera Selatan untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,88.2,23.9,Berakhir
7,ID-BE,2020-03-15,2020-05-07,Work From Home,Work From Home Bengkulu,Implementasi Work From Home di Bengkulu untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,74.3,12.2,Berakhir
8,ID-LA,2020-03-15,2020-06-10,Work From Home,Work From Home Lampung,Implementasi Work From Home di Lampung untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,85.5,28.1,Berakhir
9,ID-BB,2020-03-15,2020-06-07,Work From Home,Work From Home Kepulauan Bangka Belitung,Implementasi Work From Home di Kepulauan Bangka Belitung untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,65.8,25.2,Berakhir
10,ID-KR,2020-03-15,2020-04-22,Work From Home,Work From Home Kepulauan Riau,Implementasi Work From Home di Kepulauan Riau untuk mengendalikan penyebaran COVID-19,6,False,True,False,False,False,87.6,18.8,Berakhir
