id_mobilitas,iso_code,tanggal,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential,private_vehicle_movement,public_transport_usage,walking_cycling,morning_rush_hour,afternoon_activity,evening_rush_hour,night_activity,overall_mobility_index
1,ID-AC,2020-03-01,-37.0,-25.9,-61.7,-52.9,-24.2,15.4,-39.8,-57.0,-14.8,-40.3,-49.6,-48.4,-47.6,-38.0
2,ID-SU,2020-03-01,-62.3,-18.8,-65.5,-68.6,-28.0,11.8,-35.8,-69.5,-24.5,-47.2,-44.2,-55.2,-81.3,-53.0
3,ID-SB,2020-03-01,-37.2,-14.2,-19.3,-63.1,-27.0,18.0,-35.0,-83.8,-24.3,-35.6,-40.5,-32.8,-46.9,-42.4
4,ID-RI,2020-03-01,-51.5,-20.8,-75.0,-71.4,-36.2,20.2,-32.1,-62.5,-18.7,-56.3,-51.1,-57.4,-47.3,-53.0
5,ID-JA,2020-03-01,-52.3,-19.4,-74.1,-68.0,-52.9,14.7,-39.2,-92.5,-32.1,-46.8,-43.5,-44.0,-63.7,-57.7
6,ID-SS,2020-03-01,-58.8,-25.9,-38.8,-64.8,-53.3,12.2,-33.1,-79.5,-17.8,-43.7,-42.8,-49.0,-55.4,-59.0
7,ID-BE,2020-03-01,-33.3,-29.5,-70.7,-42.8,-37.2,12.1,-31.3,-66.2,-32.9,-44.2,-25.7,-34.5,-75.7,-37.8
8,ID-LA,2020-03-01,-58.5,-42.8,-46.0,-99.4,-53.8,21.6,-59.5,-131.6,-38.8,-61.6,-56.5,-74.1,-82.3,-70.6
9,ID-BB,2020-03-01,-50.8,-16.0,-33.4,-47.5,-31.8,10.9,-26.5,-58.8,-24.2,-39.7,-33.6,-53.3,-69.7,-43.4
10,ID-KR,2020-03-01,-39.4,-25.1,-71.3,-57.2,-38.4,16.7,-47.1,-70.8,-23.6,-54.2,-60.7,-48.5,-67.0,-45.0
11,ID-JK,2020-03-01,-83.5,-41.7,-86.3,-103.8,-66.7,22.5,-46.6,-109.3,-49.1,-79.9,-71.3,-73.2,-110.6,-84.7
12,ID-JB,2020-03-01,-95.7,-33.5,-68.1,-86.6,-71.0,20.5,-51.7,-103.5,-25.1,-73.8,-53.8,-60.7,-82.1,-84.4
13,ID-JT,2020-03-01,-63.0,-26.1,-39.2,-67.5,-47.6,15.2,-32.0,-85.9,-39.0,-46.6,-31.8,-40.5,-67.1,-59.4
14,ID-YO,2020-03-01,-90.9,-46.8,-52.3,-88.1,-52.3,23.0,-59.0,-100.2,-28.5,-61.3,-45.9,-70.9,-79.7,-77.1
15,ID-JI,2020-03-01,-87.8,-27.8,-53.5,-81.5,-53.3,19.4,-59.6,-116.2,-35.4,-64.7,-57.8,-67.7,-103.6,-74.2
16,ID-BT,2020-03-01,-83.1,-28.6,-56.9,-75.7,-53.5,17.2,-34.6,-75.7,-20.4,-53.9,-38.0,-62.4,-64.3,-70.7
17,ID-BA,2020-03-01,-58.3,-30.1,-82.5,-76.8,-43.6,13.3,-41.6,-82.6,-31.3,-46.9,-39.1,-53.7,-65.1,-59.6
18,ID-NB,2020-03-01,-94.8,-35.5,-103.7,-106.4,-51.4,18.5,-55.8,-122.9,-36.2,-69.5,-55.3,-74.4,-113.2,-84.2
19,ID-NT,2020-03-01,-46.9,-21.8,-63.4,-53.1,-52.6,18.8,-40.4,-92.2,-39.6,-36.6,-40.2,-44.2,-76.7,-50.9
20,ID-KB,2020-03-01,-54.6,-30.1,-90.1,-77.2,-63.2,17.7,-50.9,-96.9,-37.6,-73.8,-52.5,-56.9,-71.5,-65.0
21,ID-KT,2020-03-01,-74.0,-38.5,-41.8,-69.3,-41.4,18.7,-36.8,-101.2,-35.8,-45.1,-34.2,-49.6,-62.4,-61.6
22,ID-KS,2020-03-01,-41.0,-18.7,-37.9,-63.1,-24.3,11.8,-33.8,-77.0,-21.9,-42.3,-26.5,-36.4,-67.5,-42.8
23,ID-KI,2020-03-01,-53.3,-18.1,-45.3,-49.5,-40.1,11.7,-32.8,-86.6,-25.3,-51.0,-32.4,-49.2,-65.5,-47.6
24,ID-KU,2020-03-01,-86.0,-36.2,-90.1,-72.3,-43.9,23.6,-40.9,-105.9,-38.0,-53.2,-57.3,-62.8,-84.3,-67.4
25,ID-SA,2020-03-01,-62.0,-38.4,-33.6,-74.3,-65.1,16.1,-45.5,-106.9,-39.6,-54.7,-61.3,-51.7,-88.6,-67.1
26,ID-ST,2020-03-01,-78.4,-40.0,-62.1,-68.0,-66.7,23.1,-39.4,-81.9,-44.4,-58.3,-64.1,-67.8,-78.4,-71.1
27,ID-SN,2020-03-01,-48.3,-27.8,-81.4,-80.3,-53.8,24.4,-52.9,-96.7,-31.6,-58.9,-52.6,-59.0,-72.6,-60.8
28,ID-SG,2020-03-01,-50.3,-26.4,-65.5,-61.2,-54.3,15.7,-40.7,-76.2,-30.9,-58.3,-58.2,-60.8,-79.8,-55.2
29,ID-GO,2020-03-01,-52.3,-20.9,-55.0,-64.5,-21.7,12.1,-37.1,-60.3,-35.4,-36.8,-26.6,-44.9,-34.4,-46.2
30,ID-SR,2020-03-01,-56.0,-41.0,-89.3,-79.9,-53.9,17.5,-42.8,-107.0,-21.8,-53.9,-66.1,-71.6,-86.3,-63.3
31,ID-MA,2020-03-01,-53.5,-35.8,-68.4,-59.8,-46.6,12.3,-38.4,-104.5,-34.0,-41.4,-59.5,-52.8,-71.5,-53.3
32,ID-MU,2020-03-01,-48.5,-33.1,-51.5,-71.7,-27.1,17.6,-30.6,-55.7,-31.7,-46.7,-29.6,-43.9,-55.3,-49.1
33,ID-PA,2020-03-01,-74.8,-38.6,-65.5,-95.4,-73.6,25.4,-61.0,-106.7,-26.1,-58.9,-71.2,-66.4,-84.1,-81.3
34,ID-PB,2020-03-01,-71.2,-25.0,-82.7,-56.1,-48.4,14.2,-36.7,-77.2,-15.3,-49.0,-34.1,-54.6,-79.2,-58.6
35,ID-AC,2020-03-08,-37.0,-19.6,-41.0,-36.6,-45.6,13.0,-26.8,-78.9,-15.3,-44.4,-39.5,-35.4,-29.6,-39.7
36,ID-SU,2020-03-08,-51.6,-18.2,-48.5,-54.8,-25.9,9.8,-26.6,-72.3,-21.8,-41.9,-31.7,-40.1,-66.2,-44.1
37,ID-SB,2020-03-08,-58.1,-29.7,-32.9,-58.5,-45.3,20.2,-36.0,-99.5,-21.1,-39.9,-40.4,-54.9,-58.1,-54.0
38,ID-RI,2020-03-08,-56.9,-25.9,-64.4,-40.5,-35.1,18.2,-38.5,-80.2,-18.8,-49.0,-36.0,-47.5,-49.2,-44.2
39,ID-JA,2020-03-08,-59.7,-34.9,-60.4,-75.6,-36.9,21.5,-45.3,-82.9,-24.2,-49.2,-54.0,-53.9,-90.0,-57.4
40,ID-SS,2020-03-08,-83.5,-35.0,-63.9,-73.8,-44.8,18.3,-45.7,-80.2,-34.5,-58.5,-57.7,-62.8,-71.4,-67.3
41,ID-BE,2020-03-08,-58.7,-30.9,-59.7,-50.7,-28.1,14.1,-35.0,-77.7,-36.2,-36.4,-35.4,-46.7,-53.5,-45.8
42,ID-LA,2020-03-08,-73.6,-37.9,-66.2,-82.1,-50.5,16.7,-50.5,-86.8,-46.0,-69.1,-43.7,-51.2,-69.1,-68.7
43,ID-BB,2020-03-08,-59.8,-24.9,-57.5,-73.7,-35.9,15.0,-49.4,-92.0,-43.1,-64.6,-42.0,-64.0,-89.7,-56.5
44,ID-KR,2020-03-08,-63.8,-14.3,-63.5,-46.7,-50.8,13.8,-31.0,-59.8,-16.0,-42.6,-30.1,-42.6,-40.9,-53.8
45,ID-JK,2020-03-08,-60.9,-36.6,-44.5,-93.6,-48.3,24.2,-37.0,-109.7,-29.9,-69.3,-62.2,-60.3,-98.3,-67.6
46,ID-JB,2020-03-08,-48.3,-30.5,-55.4,-79.8,-37.4,12.8,-47.0,-80.2,-20.0,-51.5,-31.9,-49.2,-64.5,-55.2
47,ID-JT,2020-03-08,-61.4,-31.6,-73.5,-83.2,-49.1,20.9,-44.0,-85.4,-29.6,-55.7,-46.4,-54.8,-85.4,-64.6
48,ID-YO,2020-03-08,-62.5,-27.3,-67.2,-39.3,-47.1,12.7,-25.5,-63.1,-29.2,-49.0,-46.8,-41.9,-64.0,-49.6
49,ID-JI,2020-03-08,-53.5,-25.2,-24.7,-50.8,-22.7,14.6,-36.3,-72.4,-15.4,-42.8,-20.7,-39.7,-31.9,-42.3
50,ID-BT,2020-03-08,-81.9,-40.4,-99.7,-77.7,-47.1,17.7,-43.9,-89.5,-30.0,-67.5,-65.9,-71.1,-80.6,-68.9
51,ID-BA,2020-03-08,-78.1,-26.2,-48.9,-75.4,-50.9,17.5,-47.3,-94.1,-46.8,-52.3,-60.0,-64.0,-85.9,-68.2
52,ID-NB,2020-03-08,-83.5,-30.9,-48.0,-95.4,-73.6,17.4,-41.9,-97.1,-30.9,-66.7,-52.5,-66.9,-95.6,-84.2
53,ID-NT,2020-03-08,-42.0,-28.3,-87.7,-79.2,-43.6,13.9,-36.4,-91.9,-26.9,-60.6,-48.3,-56.3,-74.5,-54.9
