id_rumah_sakit,iso_code,nama_rumah_sakit,tipe_rumah_sakit,kelas_rumah_sakit,total_bed,icu_bed,isolation_bed,emergency_bed,ventilator_count,oxygen_capacity,ct_scan_available,pcr_lab_available,doctor_count,nurse_count,specialist_count,latitude,longitude,alamat,covid_referral,operational_status
1,ID-AC,RS Daerah Aceh 1,Pemerintah,D,23,0,1,1,1,345,False,False,5,20,2,-10.459694,99.309981,"Jl. Kesehatan No. 78, Aceh",True,Aktif
2,ID-AC,RS Swasta Aceh 2,Swasta,A,587,35,96,45,31,8218,True,True,91,650,38,-8.285792,114.440262,"Jl. Kesehatan No. 98, Aceh",False,Aktif
3,ID-AC,RS TNI Aceh 3,Pemerintah,D,23,0,0,2,1,115,False,False,5,20,2,-4.564916,120.393869,"Jl. Kesehatan No. 74, Aceh",True,Aktif
4,ID-AC,RS Swasta Aceh 4,Swasta,A,660,35,109,58,41,5280,True,False,180,505,60,3.179877,102.482088,"Jl. Kesehatan No. 90, Aceh",True,Tutup Sementara
5,ID-AC,RS Umum Aceh 5,Swasta,B,193,10,18,14,9,2895,False,False,45,126,13,2.061331,97.573146,"Jl. Kesehatan No. 35, Aceh",True,Aktif
6,ID-AC,RS TNI Aceh 6,Pemerintah,B,204,15,24,17,13,2448,False,False,36,232,12,-6.497037,106.344865,"Jl. Kesehatan No. 75, Aceh",False,Aktif
7,ID-AC,RS Bhayangkara Aceh 7,Swasta,B,242,9,36,18,7,1210,False,False,65,146,16,0.568181,122.434815,"Jl. Kesehatan No. 68, Aceh",False,Aktif
8,ID-AC,RS Umum Aceh 8,Pemerintah,B,291,21,23,25,22,3783,False,True,72,302,21,-6.010498,102.275257,"Jl. Kesehatan No. 65, Aceh",True,Aktif
9,ID-SU,RS Swasta Sumatera Utara 1,Swasta,C,131,4,7,8,3,1703,False,True,37,120,12,-9.098249,111.697115,"Jl. Kesehatan No. 8, Sumatera Utara",True,Aktif
10,ID-SU,RS TNI Sumatera Utara 2,Swasta,B,295,22,25,21,18,3835,False,True,74,174,25,-1.653339,107.192605,"Jl. Kesehatan No. 70, Sumatera Utara",True,Aktif
11,ID-SU,RS TNI Sumatera Utara 3,Swasta,A,665,43,132,54,41,8645,True,True,126,447,27,-10.642418,120.48039,"Jl. Kesehatan No. 10, Sumatera Utara",True,Aktif
12,ID-SU,RS Bhayangkara Sumatera Utara 4,TNI/Polri,C,79,1,4,5,1,711,False,True,18,51,4,4.903742,121.267982,"Jl. Kesehatan No. 61, Sumatera Utara",False,Aktif
13,ID-SU,RS Umum Sumatera Utara 5,Pemerintah,A,397,21,65,26,20,1985,True,True,93,471,21,-4.155438,110.60792,"Jl. Kesehatan No. 25, Sumatera Utara",False,Aktif
14,ID-SU,RS Umum Sumatera Utara 6,Swasta,A,371,26,47,23,30,4452,True,True,97,407,22,0.086463,119.867045,"Jl. Kesehatan No. 22, Sumatera Utara",False,Aktif
15,ID-SU,RS TNI Sumatera Utara 7,Pemerintah,D,35,0,2,3,1,175,False,False,10,23,4,-3.264858,114.458344,"Jl. Kesehatan No. 92, Sumatera Utara",False,Aktif
16,ID-SU,RS Daerah Sumatera Utara 8,Swasta,B,189,7,18,10,7,945,True,True,47,102,17,-2.451543,134.225115,"Jl. Kesehatan No. 24, Sumatera Utara",True,Aktif
