id_vaksinasi,iso_code,tanggal,vaksin_sinovac,vaksin_astrazeneca,vaksin_pfizer,vaksin_moderna,vaksin_novavax,vaksin_lainnya,dosis_1,dosis_2,dosis_booster,lansia_vaksin,dewasa_vaksin,remaja_vaksin,anak_vaksin,nakes_vaksin,guru_vaksin,petugas_publik_vaksin,puskesmas_vaksin,rumah_sakit_vaksin,sentra_vaksin,drive_thru_vaksin,kipi_ringan,kipi_sedang,kipi_berat
1,ID-AC,2021-03-01,9608,3205,0,0,254,592,11023,3118,0,2893,9744,1482,0,1640,479,1033,5753,3806,1777,801,554,67,6
2,ID-SU,2021-03-01,43430,11294,0,0,0,0,39799,9751,0,12572,37314,7990,0,3524,4236,4096,30590,14935,7514,7932,1758,328,11
3,ID-SB,2021-03-01,2507,634,0,0,0,0,2793,505,0,706,2310,265,0,286,236,159,1357,697,576,218,54,25,2
4,ID-RI,2021-03-01,23432,7899,0,0,0,0,24822,6577,0,5610,19115,1874,0,3839,2008,1248,13335,8319,3446,3507,1441,120,15
5,ID-JA,2021-03-01,7912,2254,0,0,69,161,8453,1797,0,1888,6905,524,0,775,473,669,5065,2952,1179,1281,469,53,4
6,ID-SS,2021-03-01,14403,2402,0,0,291,679,14599,4770,0,4192,11038,1846,0,1356,1636,437,7378,3588,2679,944,591,82,11
7,ID-BE,2021-03-01,11243,2895,0,0,0,0,12720,2748,0,3216,9258,1022,0,1798,1149,529,6969,3549,1974,1416,516,122,11
8,ID-LA,2021-03-01,20271,5607,0,0,531,1239,21821,3755,0,6770,19324,4058,0,3417,1765,1148,12269,6878,2938,2403,323,79,25
9,ID-BB,2021-03-01,5823,1400,0,0,33,78,5202,2172,0,1337,5175,749,0,975,648,262,3732,1594,1212,634,265,62,4
10,ID-KR,2021-03-01,6624,1527,0,0,0,0,6280,2229,0,1619,5480,900,0,816,323,244,3386,2154,987,559,199,60,1
